cell_x,cell_y,predicted_time
17,13,77.5031644461793
10,12,153.44459795097123
17,17,53.54730860084838
17,18,51.284395057304515
27,29,59.631015732149116
12,12,51.14886455964941
12,13,52.006685308153614
15,17,51.58741921323268
15,17,60.49870692548038
17,14,51.22587530827764
24,19,52.02636688224614
11,8,52.03442024658989
12,21,52.1013533381764
23,17,71.36550228128934
23,20,53.94810788024561
23,19,70.01633874309518
24,17,57.161041583577834
8,16,57.6884537577302
17,16,59.29489519226994
22,17,61.07573021739386
25,15,66.08685901113613
19,16,184.612658272462
16,22,59.88943299972995
29,21,59.14192649414574
13,21,66.71238377627014
16,16,78.52944990008524
18,14,74.34990955748192
12,19,65.91768220726954
17,15,94.52427397212112
10,13,66.27362412545871
14,12,78.31423388079135
11,9,71.43725995153514
15,13,72.41977064740125
29,29,77.40568416135976
9,8,103.2319162505598
